Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;449;-;-;449;-;-
Wählende;258;57,5 %;-;258;57,5 %;-
Ungültige Stimmen;2;0,8 %;-;1;0,4 %;-
Gültige Stimmen;256;99,2 %;-;257;99,6 %;-
SPD;90;35,2 %;-;81;31,5 %;-
AfD;106;41,4 %;-;101;39,3 %;-
CDU;27;10,5 %;-;23;8,9 %;-
GRÜNE/B 90;4;1,6 %;-;7;2,7 %;-
DIE LINKE;5;2,0 %;-;2;0,8 %;-
BVB / FREIE WÄHLER;13;5,1 %;-;8;3,1 %;-
FDP;2;0,8 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;3;1,2 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;28;10,9 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;9;3,5 %;-;1;0,4 %;-
WU;-;-;-;1;0,4 %;-
