Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;698;-;-;698;-;-
Ungültige Stimmen;12;1,7 %;-;3;0,4 %;-
Gültige Stimmen;686;98,3 %;-;695;99,6 %;-
SPD;265;38,6 %;-;240;34,5 %;-
AfD;145;21,1 %;-;121;17,4 %;-
CDU;108;15,7 %;-;82;11,8 %;-
GRÜNE/B 90;22;3,2 %;-;31;4,5 %;-
DIE LINKE;39;5,7 %;-;18;2,6 %;-
BVB / FREIE WÄHLER;76;11,1 %;-;33;4,7 %;-
FDP;10;1,5 %;-;2;0,3 %;-
Tierschutzpartei;-;-;-;13;1,9 %;-
Plus;21;3,1 %;-;11;1,6 %;-
BSW;-;-;-;137;19,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;4;0,6 %;-
