Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;838;-;-;838;-;-
Wählende;442;52,7 %;-;442;52,7 %;-
Ungültige Stimmen;9;2,0 %;-;4;0,9 %;-
Gültige Stimmen;433;98,0 %;-;438;99,1 %;-
SPD;130;30,0 %;-;112;25,6 %;-
AfD;190;43,9 %;-;178;40,6 %;-
CDU;52;12,0 %;-;48;11,0 %;-
GRÜNE/B 90;5;1,2 %;-;3;0,7 %;-
DIE LINKE;22;5,1 %;-;12;2,7 %;-
BVB / FREIE WÄHLER;32;7,4 %;-;9;2,1 %;-
FDP;2;0,5 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;10;2,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;62;14,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
