Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;241;-;-;241;-;-
Wählende;129;53,5 %;-;129;53,5 %;-
Ungültige Stimmen;0;0,0 %;-;1;0,8 %;-
Gültige Stimmen;129;100,0 %;-;128;99,2 %;-
SPD;30;23,3 %;-;30;23,4 %;-
AfD;56;43,4 %;-;54;42,2 %;-
CDU;24;18,6 %;-;13;10,2 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;4;3,1 %;-;2;1,6 %;-
BVB / FREIE WÄHLER;15;11,6 %;-;6;4,7 %;-
FDP;0;0,0 %;-;1;0,8 %;-
Tierschutzpartei;-;-;-;2;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;19;14,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,8 %;-
WU;-;-;-;0;0,0 %;-
