Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;256;-;-;256;-;-
Wählende;146;57,0 %;-;146;57,0 %;-
Ungültige Stimmen;0;0,0 %;-;1;0,7 %;-
Gültige Stimmen;146;100,0 %;-;145;99,3 %;-
SPD;42;28,8 %;-;35;24,1 %;-
AfD;54;37,0 %;-;50;34,5 %;-
CDU;17;11,6 %;-;18;12,4 %;-
GRÜNE/B 90;1;0,7 %;-;1;0,7 %;-
DIE LINKE;13;8,9 %;-;9;6,2 %;-
BVB / FREIE WÄHLER;16;11,0 %;-;5;3,4 %;-
FDP;2;1,4 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;2;1,4 %;-
BSW;-;-;-;24;16,6 %;-
III. Weg;1;0,7 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
