Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;557;-;-;557;-;-
Ungültige Stimmen;15;2,7 %;+21;9;1,6 %;+11
Gültige Stimmen;542;97,3 %;-21;548;98,4 %;-11
SPD;190;35,1 %;+115;165;30,1 %;+48
AfD;118;21,8 %;+46;107;19,5 %;+07
CDU;117;21,6 %;+77;93;17,0 %;+31
GRÜNE/B 90;26;4,8 %;-34;32;5,8 %;-52
DIE LINKE;29;5,4 %;-45;18;3,3 %;-81
BVB / FREIE WÄHLER;44;8,1 %;-159;12;2,2 %;-85
FDP;2;0,4 %;-22;2;0,4 %;-31
Tierschutzpartei;-;-;-;18;3,3 %;-03
Plus;-;-;-;5;0,9 %;-03
BSW;-;-;-;93;17,0 %;+170
III. Weg;-;-;-;1;0,2 %;+02
DKP;9;1,7 %;+09;1;0,2 %;+02
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;0;0,0 %;00
EB Schamberger;7;1,3 %;+13;-;-;-
