Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;966;-;-;966;-;-
Ungültige Stimmen;13;1,3 %;+08;3;0,3 %;-03
Gültige Stimmen;953;98,7 %;-08;963;99,7 %;+03
SPD;378;39,7 %;+73;336;34,9 %;+81
AfD;165;17,3 %;+39;144;15,0 %;+17
CDU;148;15,5 %;+00;128;13,3 %;-10
GRÜNE/B 90;91;9,5 %;-40;67;7,0 %;-112
DIE LINKE;60;6,3 %;-80;40;4,2 %;-96
BVB / FREIE WÄHLER;74;7,8 %;+10;27;2,8 %;-28
FDP;7;0,7 %;-28;8;0,8 %;-26
Tierschutzpartei;-;-;-;27;2,8 %;-02
Plus;-;-;-;25;2,6 %;+10
BSW;-;-;-;151;15,7 %;+157
III. Weg;-;-;-;0;0,0 %;00
DKP;16;1,7 %;+12;2;0,2 %;+02
DLW;-;-;-;5;0,5 %;+05
WU;-;-;-;3;0,3 %;+03
EB Schamberger;14;1,5 %;+15;-;-;-
