Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;963;-;-;963;-;-
Wählende;446;46,3 %;-;446;46,3 %;-
Ungültige Stimmen;12;2,7 %;-;8;1,8 %;-
Gültige Stimmen;434;97,3 %;-;438;98,2 %;-
SPD;204;47,0 %;-;161;36,8 %;-
AfD;120;27,6 %;-;117;26,7 %;-
CDU;50;11,5 %;-;39;8,9 %;-
GRÜNE/B 90;5;1,2 %;-;23;5,3 %;-
DIE LINKE;17;3,9 %;-;14;3,2 %;-
BVB / FREIE WÄHLER;29;6,7 %;-;7;1,6 %;-
FDP;9;2,1 %;-;4;0,9 %;-
Tierschutzpartei;-;-;-;12;2,7 %;-
Plus;-;-;-;4;0,9 %;-
BSW;-;-;-;54;12,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,7 %;-
WU;-;-;-;0;0,0 %;-
