Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;872;-;-;872;-;-
Wählende;343;39,3 %;-;343;39,3 %;-
Ungültige Stimmen;12;3,5 %;-;6;1,7 %;-
Gültige Stimmen;331;96,5 %;-;337;98,3 %;-
SPD;119;36,0 %;-;103;30,6 %;-
AfD;154;46,5 %;-;153;45,4 %;-
CDU;26;7,9 %;-;26;7,7 %;-
GRÜNE/B 90;1;0,3 %;-;1;0,3 %;-
DIE LINKE;20;6,0 %;-;14;4,2 %;-
BVB / FREIE WÄHLER;3;0,9 %;-;4;1,2 %;-
FDP;5;1,5 %;-;2;0,6 %;-
Tierschutzpartei;3;0,9 %;-;3;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;27;8,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;4;1,2 %;-
