Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;777;-;-;777;-;-
Ungültige Stimmen;6;0,8 %;-;0;0,0 %;-
Gültige Stimmen;771;99,2 %;-;777;100,0 %;-
SPD;261;33,9 %;-;248;31,9 %;-
AfD;161;20,9 %;-;124;16,0 %;-
CDU;184;23,9 %;-;149;19,2 %;-
GRÜNE/B 90;26;3,4 %;-;37;4,8 %;-
DIE LINKE;45;5,8 %;-;25;3,2 %;-
BVB / FREIE WÄHLER;54;7,0 %;-;28;3,6 %;-
FDP;9;1,2 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;13;1,7 %;-
Plus;19;2,5 %;-;14;1,8 %;-
BSW;-;-;-;125;16,1 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;0,5 %;-
WU;-;-;-;4;0,5 %;-
EB Müller;12;1,6 %;-;-;-;-
