Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;811;-;-;811;-;-
Wählende;375;46,2 %;-;375;46,2 %;-
Ungültige Stimmen;3;0,8 %;-;2;0,5 %;-
Gültige Stimmen;372;99,2 %;-;373;99,5 %;-
SPD;154;41,4 %;-;142;38,1 %;-
AfD;140;37,6 %;-;130;34,9 %;-
CDU;25;6,7 %;-;19;5,1 %;-
GRÜNE/B 90;3;0,8 %;-;5;1,3 %;-
DIE LINKE;22;5,9 %;-;7;1,9 %;-
BVB / FREIE WÄHLER;24;6,5 %;-;10;2,7 %;-
FDP;1;0,3 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;11;2,9 %;-
Plus;-;-;-;4;1,1 %;-
BSW;-;-;-;36;9,7 %;-
III. Weg;-;-;-;3;0,8 %;-
DKP;3;0,8 %;-;0;0,0 %;-
DLW;-;-;-;4;1,1 %;-
WU;-;-;-;1;0,3 %;-
