Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;93;-;-;93;-;-
Wählende;67;72,0 %;-;67;72,0 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;67;100,0 %;-;67;100,0 %;-
SPD;16;23,9 %;-;11;16,4 %;-
AfD;37;55,2 %;-;37;55,2 %;-
CDU;8;11,9 %;-;10;14,9 %;-
GRÜNE/B 90;2;3,0 %;-;2;3,0 %;-
DIE LINKE;1;1,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;3,0 %;-;2;3,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;5;7,5 %;-
III. Weg;1;1,5 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
