Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;877;-;-;877;-;-
Wählende;502;57,2 %;-;502;57,2 %;-
Ungültige Stimmen;13;2,6 %;-;11;2,2 %;-
Gültige Stimmen;489;97,4 %;-;491;97,8 %;-
SPD;137;28,0 %;-;144;29,3 %;-
AfD;187;38,2 %;-;170;34,6 %;-
CDU;109;22,3 %;-;60;12,2 %;-
GRÜNE/B 90;8;1,6 %;-;8;1,6 %;-
DIE LINKE;-;-;-;6;1,2 %;-
BVB / FREIE WÄHLER;46;9,4 %;-;12;2,4 %;-
FDP;2;0,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;13;2,6 %;-
Plus;-;-;-;7;1,4 %;-
BSW;-;-;-;64;13,0 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;3;0,6 %;-
WU;-;-;-;2;0,4 %;-
