Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;992;-;-;992;-;-
Wählende;500;50,4 %;-;500;50,4 %;-
Ungültige Stimmen;4;0,8 %;-;1;0,2 %;-
Gültige Stimmen;496;99,2 %;-;499;99,8 %;-
SPD;131;26,4 %;-;130;26,1 %;-
AfD;212;42,7 %;-;201;40,3 %;-
CDU;65;13,1 %;-;41;8,2 %;-
GRÜNE/B 90;14;2,8 %;-;14;2,8 %;-
DIE LINKE;34;6,9 %;-;17;3,4 %;-
BVB / FREIE WÄHLER;28;5,6 %;-;9;1,8 %;-
FDP;10;2,0 %;-;8;1,6 %;-
Tierschutzpartei;-;-;-;4;0,8 %;-
Plus;-;-;-;5;1,0 %;-
BSW;-;-;-;70;14,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;2;0,4 %;-;-;-;-
