Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;475;-;-;475;-;-
Wählende;278;58,5 %;-;278;58,5 %;-
Ungültige Stimmen;3;1,1 %;-;3;1,1 %;-
Gültige Stimmen;275;98,9 %;-;275;98,9 %;-
SPD;89;32,4 %;-;84;30,5 %;-
AfD;104;37,8 %;-;95;34,5 %;-
CDU;40;14,5 %;-;27;9,8 %;-
GRÜNE/B 90;7;2,5 %;-;16;5,8 %;-
DIE LINKE;15;5,5 %;-;5;1,8 %;-
BVB / FREIE WÄHLER;16;5,8 %;-;6;2,2 %;-
FDP;2;0,7 %;-;3;1,1 %;-
Tierschutzpartei;-;-;-;7;2,5 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;31;11,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;0,7 %;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
