Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.369;-;-;1.369;-;-
Wählende;672;49,1 %;-;672.0;49,1 %;-
Ungültige Stimmen;6;0,9 %;-;4.0;0,6 %;-
Gültige Stimmen;666;99,1 %;-;668.0;99,4 %;-
SPD;232;34,8 %;-;204.0;30,5 %;-
AfD;186;27,9 %;-;183.0;27,4 %;-
CDU;76;11,4 %;-;57.0;8,5 %;-
GRÜNE/B 90;8;1,2 %;-;39.0;5,8 %;-
DIE LINKE;38;5,7 %;-;30.0;4,5 %;-
BVB / FREIE WÄHLER;124;18,6 %;-;67.0;10,0 %;-
FDP;2;0,3 %;-;4.0;0,6 %;-
Tierschutzpartei;-;-;-;5.0;0,7 %;-
Plus;-;-;-;4.0;0,6 %;-
BSW;-;-;-;73.0;10,9 %;-
III. Weg;-;-;-;1.0;0,1 %;-
DKP;-;-;-;1.0;0,1 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
