Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;970;-;-;970;-;-
Ungültige Stimmen;14;1,4 %;-;5;0,5 %;-
Gültige Stimmen;956;98,6 %;-;965;99,5 %;-
SPD;451;47,2 %;-;421;43,6 %;-
AfD;138;14,4 %;-;132;13,7 %;-
CDU;134;14,0 %;-;100;10,4 %;-
GRÜNE/B 90;28;2,9 %;-;45;4,7 %;-
DIE LINKE;95;9,9 %;-;42;4,4 %;-
BVB / FREIE WÄHLER;82;8,6 %;-;23;2,4 %;-
FDP;14;1,5 %;-;13;1,3 %;-
Tierschutzpartei;-;-;-;15;1,6 %;-
Plus;-;-;-;20;2,1 %;-
BSW;-;-;-;148;15,3 %;-
III. Weg;-;-;-;1;0,1 %;-
DKP;14;1,5 %;-;3;0,3 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;0;0,0 %;-
