Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;909;-;-;909;-;-
Wählende;491;54,0 %;-;491;54,0 %;-
Ungültige Stimmen;5;1,0 %;-;3;0,6 %;-
Gültige Stimmen;486;99,0 %;-;488;99,4 %;-
SPD;122;25,1 %;-;128;26,2 %;-
AfD;245;50,4 %;-;233;47,7 %;-
CDU;72;14,8 %;-;51;10,5 %;-
GRÜNE/B 90;3;0,6 %;-;7;1,4 %;-
DIE LINKE;9;1,9 %;-;5;1,0 %;-
BVB / FREIE WÄHLER;22;4,5 %;-;6;1,2 %;-
FDP;2;0,4 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;10;2,0 %;-
Plus;1;0,2 %;-;0;0,0 %;-
BSW;-;-;-;42;8,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;2;0,4 %;-;1;0,2 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;1;0,2 %;-
Demokraten BB;8;1,6 %;-;-;-;-
