Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;413;-;-;413;-;-
Wählende;207;50,1 %;-;207;50,1 %;-
Ungültige Stimmen;7;3,4 %;-;5;2,4 %;-
Gültige Stimmen;200;96,6 %;-;202;97,6 %;-
SPD;80;40,0 %;-;77;38,1 %;-
AfD;67;33,5 %;-;63;31,2 %;-
CDU;37;18,5 %;-;28;13,9 %;-
GRÜNE/B 90;3;1,5 %;-;3;1,5 %;-
DIE LINKE;4;2,0 %;-;3;1,5 %;-
BVB / FREIE WÄHLER;7;3,5 %;-;1;0,5 %;-
FDP;0;0,0 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;2;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;22;10,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;1,0 %;-;2;1,0 %;-
WU;-;-;-;0;0,0 %;-
