Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;4.617;-;-;4.617;-;-
Wählende;3.614;78,3 %;+111;3.614;78,3 %;+111
Ungültige Stimmen;57;1,6 %;+04;33.0;0,9 %;-01
Gültige Stimmen;3.557;98,4 %;-04;3.581;99,1 %;+01
SPD;924;26,0 %;+38;1.007;28,1 %;+46
AfD;1.283;36,1 %;+101;1.191;33,3 %;+59
CDU;889;25,0 %;-37;519.0;14,5 %;-88
GRÜNE/B 90;51;1,4 %;-35;57.0;1,6 %;-36
DIE LINKE;-;-;-77;67.0;1,9 %;-58
BVB / FREIE WÄHLER;369;10,4 %;+33;100.0;2,8 %;-26
FDP;41;1,2 %;-23;13.0;0,4 %;-37
Tierschutzpartei;-;-;-;58.0;1,6 %;-05
Plus;-;-;-;29.0;0,8 %;-04
BSW;-;-;-;499.0;13,9 %;+139
III. Weg;-;-;-;6.0;0,2 %;+02
DKP;-;-;-;2.0;0,1 %;+01
DLW;-;-;-;22.0;0,6 %;+06
WU;-;-;-;11.0;0,3 %;+03
