Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;594;-;-;594;-;-
Ungültige Stimmen;7;1,2 %;+06;2;0,3 %;-02
Gültige Stimmen;587;98,8 %;-06;592;99,7 %;+02
SPD;147;25,0 %;+96;170;28,7 %;+35
AfD;179;30,5 %;+26;162;27,4 %;-07
CDU;125;21,3 %;-105;94;15,9 %;-47
GRÜNE/B 90;5;0,9 %;-27;8;1,4 %;-32
DIE LINKE;71;12,1 %;-04;26;4,4 %;-61
BVB / FREIE WÄHLER;43;7,3 %;+37;12;2,0 %;-16
FDP;5;0,9 %;-39;4;0,7 %;-38
Tierschutzpartei;-;-;-;9;1,5 %;-06
Plus;-;-;-;4;0,7 %;-01
BSW;-;-;-;98;16,6 %;+166
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;3;0,5 %;+05
EB Hoffmann;12;2,0 %;+14;-;-;-
