Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;722;-;-;722;-;-
Ungültige Stimmen;3;0,4 %;-;2;0,3 %;-
Gültige Stimmen;719;99,6 %;-;720;99,7 %;-
SPD;233;32,4 %;-;201;27,9 %;-
AfD;126;17,5 %;-;109;15,1 %;-
CDU;129;17,9 %;-;128;17,8 %;-
GRÜNE/B 90;32;4,5 %;-;36;5,0 %;-
DIE LINKE;56;7,8 %;-;22;3,1 %;-
BVB / FREIE WÄHLER;115;16,0 %;-;36;5,0 %;-
FDP;28;3,9 %;-;13;1,8 %;-
Tierschutzpartei;-;-;-;14;1,9 %;-
Plus;-;-;-;12;1,7 %;-
BSW;-;-;-;145;20,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,3 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,3 %;-
