Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;841;-;-;841;-;-
Wählende;375;44,6 %;-;375;44,6 %;-
Ungültige Stimmen;3;0,8 %;-;2;0,5 %;-
Gültige Stimmen;372;99,2 %;-;373;99,5 %;-
SPD;101;27,2 %;-;99;26,5 %;-
AfD;179;48,1 %;-;147;39,4 %;-
CDU;44;11,8 %;-;35;9,4 %;-
GRÜNE/B 90;2;0,5 %;-;2;0,5 %;-
DIE LINKE;9;2,4 %;-;4;1,1 %;-
BVB / FREIE WÄHLER;34;9,1 %;-;10;2,7 %;-
FDP;3;0,8 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;4;1,1 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;62;16,6 %;-
III. Weg;-;-;-;4;1,1 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
