Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;460;-;-;460;-;-
Wählende;237;51,5 %;-;237;51,5 %;-
Ungültige Stimmen;5;2,1 %;-;4;1,7 %;-
Gültige Stimmen;232;97,9 %;-;233;98,3 %;-
SPD;95;40,9 %;-;91;39,1 %;-
AfD;71;30,6 %;-;62;26,6 %;-
CDU;19;8,2 %;-;14;6,0 %;-
GRÜNE/B 90;7;3,0 %;-;8;3,4 %;-
DIE LINKE;20;8,6 %;-;11;4,7 %;-
BVB / FREIE WÄHLER;18;7,8 %;-;6;2,6 %;-
FDP;2;0,9 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;4;1,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;34;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;1;0,4 %;-
