Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;877;-;-;877;-;-
Wählende;451;51,4 %;-;451;51,4 %;-
Ungültige Stimmen;5;1,1 %;-;3;0,7 %;-
Gültige Stimmen;446;98,9 %;-;448;99,3 %;-
SPD;155;34,8 %;-;143;31,9 %;-
AfD;166;37,2 %;-;151;33,7 %;-
CDU;40;9,0 %;-;37;8,3 %;-
GRÜNE/B 90;4;0,9 %;-;9;2,0 %;-
DIE LINKE;29;6,5 %;-;9;2,0 %;-
BVB / FREIE WÄHLER;45;10,1 %;-;15;3,3 %;-
FDP;5;1,1 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;9;2,0 %;-
Plus;-;-;-;8;1,8 %;-
BSW;-;-;-;59;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;2;0,4 %;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;4;0,9 %;-
