Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;919;-;-;919;-;-
Ungültige Stimmen;11;1,2 %;-;3;0,3 %;-
Gültige Stimmen;908;98,8 %;-;916;99,7 %;-
SPD;384;42,3 %;-;353;38,5 %;-
AfD;139;15,3 %;-;117;12,8 %;-
CDU;206;22,7 %;-;142;15,5 %;-
GRÜNE/B 90;40;4,4 %;-;46;5,0 %;-
DIE LINKE;45;5,0 %;-;21;2,3 %;-
BVB / FREIE WÄHLER;81;8,9 %;-;32;3,5 %;-
FDP;13;1,4 %;-;9;1,0 %;-
Tierschutzpartei;-;-;-;14;1,5 %;-
Plus;-;-;-;9;1,0 %;-
BSW;-;-;-;162;17,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,2 %;-
WU;-;-;-;9;1,0 %;-
