Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;702;-;-;702;-;-
Ungültige Stimmen;7;1,0 %;-;1;0,1 %;-
Gültige Stimmen;695;99,0 %;-;701;99,9 %;-
SPD;246;35,4 %;-;262;37,4 %;-
AfD;108;15,5 %;-;94;13,4 %;-
CDU;164;23,6 %;-;129;18,4 %;-
GRÜNE/B 90;58;8,3 %;-;52;7,4 %;-
DIE LINKE;47;6,8 %;-;21;3,0 %;-
BVB / FREIE WÄHLER;61;8,8 %;-;15;2,1 %;-
FDP;11;1,6 %;-;9;1,3 %;-
Tierschutzpartei;-;-;-;9;1,3 %;-
Plus;-;-;-;8;1,1 %;-
BSW;-;-;-;99;14,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;1;0,1 %;-
