Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.054;-;-;1.054;-;-
Wählende;526;49,9 %;-;526.0;49,9 %;-
Ungültige Stimmen;15;2,9 %;-;12.0;2,3 %;-
Gültige Stimmen;511;97,1 %;-;514.0;97,7 %;-
SPD;151;29,5 %;-;136.0;26,5 %;-
AfD;195;38,2 %;-;171.0;33,3 %;-
CDU;86;16,8 %;-;47.0;9,1 %;-
GRÜNE/B 90;9;1,8 %;-;17.0;3,3 %;-
DIE LINKE;31;6,1 %;-;30.0;5,8 %;-
BVB / FREIE WÄHLER;16;3,1 %;-;10.0;1,9 %;-
FDP;5;1,0 %;-;3.0;0,6 %;-
Tierschutzpartei;-;-;-;21.0;4,1 %;-
Plus;14;2,7 %;-;10.0;1,9 %;-
BSW;-;-;-;63.0;12,3 %;-
III. Weg;4;0,8 %;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;3.0;0,6 %;-
WU;-;-;-;3.0;0,6 %;-
