Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.022;-;-;1.022;-;-
Wählende;501;49,0 %;-;501.0;49,0 %;-
Ungültige Stimmen;5;1,0 %;-;3.0;0,6 %;-
Gültige Stimmen;496;99,0 %;-;498.0;99,4 %;-
SPD;178;35,9 %;-;166.0;33,3 %;-
AfD;175;35,3 %;-;158.0;31,7 %;-
CDU;71;14,3 %;-;63.0;12,7 %;-
GRÜNE/B 90;19;3,8 %;-;19.0;3,8 %;-
DIE LINKE;16;3,2 %;-;14.0;2,8 %;-
BVB / FREIE WÄHLER;14;2,8 %;-;3.0;0,6 %;-
FDP;11;2,2 %;-;5.0;1,0 %;-
Tierschutzpartei;-;-;-;13.0;2,6 %;-
Plus;12;2,4 %;-;7.0;1,4 %;-
BSW;-;-;-;47.0;9,4 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;1.0;0,2 %;-
