Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.180;-;-;1.18;-;-
Wählende;468;39,7 %;-;468.0;39,7 %;-
Ungültige Stimmen;1;0,2 %;-;0.0;0,0 %;-
Gültige Stimmen;467;99,8 %;-;468.0;100,0 %;-
SPD;169;36,2 %;-;157.0;33,5 %;-
AfD;161;34,5 %;-;154.0;32,9 %;-
CDU;57;12,2 %;-;42.0;9,0 %;-
GRÜNE/B 90;1;0,2 %;-;12.0;2,6 %;-
DIE LINKE;27;5,8 %;-;23.0;4,9 %;-
BVB / FREIE WÄHLER;12;2,6 %;-;6.0;1,3 %;-
FDP;5;1,1 %;-;3.0;0,6 %;-
Tierschutzpartei;35;7,5 %;-;14.0;3,0 %;-
Plus;-;-;-;2.0;0,4 %;-
BSW;-;-;-;53.0;11,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;2.0;0,4 %;-
