Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;788;-;-;788;-;-
Ungültige Stimmen;8;1,0 %;-;5;0,6 %;-
Gültige Stimmen;780;99,0 %;-;783;99,4 %;-
SPD;276;35,4 %;-;265;33,8 %;-
AfD;133;17,1 %;-;119;15,2 %;-
CDU;162;20,8 %;-;125;16,0 %;-
GRÜNE/B 90;43;5,5 %;-;59;7,5 %;-
DIE LINKE;49;6,3 %;-;32;4,1 %;-
BVB / FREIE WÄHLER;51;6,5 %;-;24;3,1 %;-
FDP;20;2,6 %;-;5;0,6 %;-
Tierschutzpartei;-;-;-;10;1,3 %;-
Plus;28;3,6 %;-;19;2,4 %;-
BSW;-;-;-;119;15,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;4;0,5 %;-
WU;-;-;-;1;0,1 %;-
EB Müller;18;2,3 %;-;-;-;-
