Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;272;-;-;272;-;-
Wählende;167;61,4 %;-;167;61,4 %;-
Ungültige Stimmen;3;1,8 %;-;1;0,6 %;-
Gültige Stimmen;164;98,2 %;-;166;99,4 %;-
SPD;57;34,8 %;-;54;32,5 %;-
AfD;65;39,6 %;-;60;36,1 %;-
CDU;19;11,6 %;-;16;9,6 %;-
GRÜNE/B 90;6;3,7 %;-;5;3,0 %;-
DIE LINKE;7;4,3 %;-;5;3,0 %;-
BVB / FREIE WÄHLER;5;3,0 %;-;2;1,2 %;-
FDP;1;0,6 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;1,8 %;-
Plus;0;0,0 %;-;0;0,0 %;-
BSW;-;-;-;17;10,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;4;2,4 %;-;4;2,4 %;-
WU;-;-;-;0;0,0 %;-
