Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;508;-;-;508;-;-
Ungültige Stimmen;8;1,6 %;+07;1;0,2 %;-03
Gültige Stimmen;500;98,4 %;-07;507;99,8 %;+03
SPD;127;25,4 %;+56;119;23,5 %;-01
AfD;118;23,6 %;+50;94;18,5 %;-24
CDU;92;18,4 %;+12;80;15,8 %;-14
GRÜNE/B 90;23;4,6 %;-31;17;3,4 %;-41
DIE LINKE;67;13,4 %;-34;32;6,3 %;-74
BVB / FREIE WÄHLER;57;11,4 %;-25;13;2,6 %;-56
FDP;9;1,8 %;-43;4;0,8 %;-52
Tierschutzpartei;-;-;-;13;2,6 %;+07
Plus;-;-;-;3;0,6 %;-06
BSW;-;-;-;116;22,9 %;+229
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;12;2,4 %;+24
WU;-;-;-;4;0,8 %;+08
dieBasis;7;1,4 %;+14;-;-;-
