Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;824;-;-;824;-;-
Wählende;376;45,6 %;-;376;45,6 %;-
Ungültige Stimmen;6;1,6 %;-;5;1,3 %;-
Gültige Stimmen;370;98,4 %;-;371;98,7 %;-
SPD;112;30,3 %;-;106;28,6 %;-
AfD;136;36,8 %;-;138;37,2 %;-
CDU;57;15,4 %;-;34;9,2 %;-
GRÜNE/B 90;4;1,1 %;-;15;4,0 %;-
DIE LINKE;34;9,2 %;-;18;4,9 %;-
BVB / FREIE WÄHLER;20;5,4 %;-;9;2,4 %;-
FDP;3;0,8 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;10;2,7 %;-
Plus;4;1,1 %;-;3;0,8 %;-
BSW;-;-;-;34;9,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
