Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.045;-;-;1.045;-;-
Wählende;488;46,7 %;-;488.0;46,7 %;-
Ungültige Stimmen;7;1,4 %;-;5.0;1,0 %;-
Gültige Stimmen;481;98,6 %;-;483.0;99,0 %;-
SPD;161;33,5 %;-;150.0;31,1 %;-
AfD;178;37,0 %;-;163.0;33,7 %;-
CDU;69;14,3 %;-;46.0;9,5 %;-
GRÜNE/B 90;19;4,0 %;-;36.0;7,5 %;-
DIE LINKE;23;4,8 %;-;11.0;2,3 %;-
BVB / FREIE WÄHLER;30;6,2 %;-;8.0;1,7 %;-
FDP;1;0,2 %;-;5.0;1,0 %;-
Tierschutzpartei;-;-;-;10.0;2,1 %;-
Plus;-;-;-;0.0;0,0 %;-
BSW;-;-;-;53.0;11,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
