Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;357;-;-;357;-;-
Wählende;229;64,1 %;-;229;64,1 %;-
Ungültige Stimmen;15;6,6 %;-;1;0,4 %;-
Gültige Stimmen;214;93,4 %;-;228;99,6 %;-
SPD;102;47,7 %;-;87;38,2 %;-
AfD;-;-;-;65;28,5 %;-
CDU;26;12,1 %;-;19;8,3 %;-
GRÜNE/B 90;3;1,4 %;-;1;0,4 %;-
DIE LINKE;13;6,1 %;-;3;1,3 %;-
BVB / FREIE WÄHLER;20;9,3 %;-;6;2,6 %;-
FDP;2;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;36;15,8 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;8;3,5 %;-
WU;-;-;-;1;0,4 %;-
EB Raue;48;22,4 %;-;-;-;-
