Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;246;-;-;246;-;-
Wählende;154;62,6 %;-;154;62,6 %;-
Ungültige Stimmen;5;3,2 %;-;4;2,6 %;-
Gültige Stimmen;149;96,8 %;-;150;97,4 %;-
SPD;40;26,8 %;-;43;28,7 %;-
AfD;63;42,3 %;-;64;42,7 %;-
CDU;21;14,1 %;-;19;12,7 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;6;4,0 %;-;1;0,7 %;-
BVB / FREIE WÄHLER;17;11,4 %;-;4;2,7 %;-
FDP;2;1,3 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;2;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;14;9,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,3 %;-
WU;-;-;-;0;0,0 %;-
