Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;875;-;-;875;-;-
Wählende;314;35,9 %;-;314;35,9 %;-
Ungültige Stimmen;8;2,5 %;-;3;1,0 %;-
Gültige Stimmen;306;97,5 %;-;311;99,0 %;-
SPD;145;47,4 %;-;110;35,4 %;-
AfD;59;19,3 %;-;54;17,4 %;-
CDU;33;10,8 %;-;28;9,0 %;-
GRÜNE/B 90;25;8,2 %;-;36;11,6 %;-
DIE LINKE;29;9,5 %;-;34;10,9 %;-
BVB / FREIE WÄHLER;6;2,0 %;-;3;1,0 %;-
FDP;4;1,3 %;-;4;1,3 %;-
Tierschutzpartei;-;-;-;5;1,6 %;-
Plus;5;1,6 %;-;6;1,9 %;-
BSW;-;-;-;28;9,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;2;0,6 %;-
