Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.366;-;-;1.366;-;-
Wählende;587;43,0 %;-;587.0;43,0 %;-
Ungültige Stimmen;4;0,7 %;-;2.0;0,3 %;-
Gültige Stimmen;583;99,3 %;-;585.0;99,7 %;-
SPD;221;37,9 %;-;191.0;32,6 %;-
AfD;241;41,3 %;-;229.0;39,1 %;-
CDU;67;11,5 %;-;51.0;8,7 %;-
GRÜNE/B 90;4;0,7 %;-;8.0;1,4 %;-
DIE LINKE;21;3,6 %;-;7.0;1,2 %;-
BVB / FREIE WÄHLER;23;3,9 %;-;6.0;1,0 %;-
FDP;6;1,0 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;13.0;2,2 %;-
Plus;-;-;-;4.0;0,7 %;-
BSW;-;-;-;72.0;12,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;2.0;0,3 %;-
