Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;512;-;-;512;-;-
Wählende;263;51,4 %;-;263;51,4 %;-
Ungültige Stimmen;6;2,3 %;-;2;0,8 %;-
Gültige Stimmen;257;97,7 %;-;261;99,2 %;-
SPD;84;32,7 %;-;78;29,9 %;-
AfD;87;33,9 %;-;79;30,3 %;-
CDU;56;21,8 %;-;38;14,6 %;-
GRÜNE/B 90;2;0,8 %;-;2;0,8 %;-
DIE LINKE;13;5,1 %;-;4;1,5 %;-
BVB / FREIE WÄHLER;14;5,4 %;-;5;1,9 %;-
FDP;1;0,4 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;9;3,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;42;16,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;1,1 %;-
WU;-;-;-;0;0,0 %;-
