Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;259;-;-;259;-;-
Wählende;168;64,9 %;-;168;64,9 %;-
Ungültige Stimmen;15;8,9 %;-;4;2,4 %;-
Gültige Stimmen;153;91,1 %;-;164;97,6 %;-
SPD;59;38,6 %;-;52;31,7 %;-
AfD;-;-;-;51;31,1 %;-
CDU;41;26,8 %;-;25;15,2 %;-
GRÜNE/B 90;3;2,0 %;-;3;1,8 %;-
DIE LINKE;5;3,3 %;-;5;3,0 %;-
BVB / FREIE WÄHLER;12;7,8 %;-;3;1,8 %;-
FDP;3;2,0 %;-;1;0,6 %;-
Tierschutzpartei;-;-;-;2;1,2 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;21;12,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Raue;30;19,6 %;-;-;-;-
