Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;844;-;-;844;-;-
Wählende;366;43,4 %;-;366;43,4 %;-
Ungültige Stimmen;5;1,4 %;-;5;1,4 %;-
Gültige Stimmen;361;98,6 %;-;361;98,6 %;-
SPD;158;43,8 %;-;140;38,8 %;-
AfD;100;27,7 %;-;85;23,5 %;-
CDU;46;12,7 %;-;35;9,7 %;-
GRÜNE/B 90;6;1,7 %;-;17;4,7 %;-
DIE LINKE;29;8,0 %;-;32;8,9 %;-
BVB / FREIE WÄHLER;16;4,4 %;-;10;2,8 %;-
FDP;4;1,1 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;4;1,1 %;-
Plus;-;-;-;4;1,1 %;-
BSW;-;-;-;29;8,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;0,6 %;-;1;0,3 %;-
WU;-;-;-;2;0,6 %;-
