Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;286;-;-;286;-;-
Wählende;157;54,9 %;-;157;54,9 %;-
Ungültige Stimmen;15;9,6 %;-;4;2,5 %;-
Gültige Stimmen;142;90,4 %;-;153;97,5 %;-
SPD;60;42,3 %;-;48;31,4 %;-
AfD;-;-;-;60;39,2 %;-
CDU;17;12,0 %;-;7;4,6 %;-
GRÜNE/B 90;0;0,0 %;-;3;2,0 %;-
DIE LINKE;8;5,6 %;-;5;3,3 %;-
BVB / FREIE WÄHLER;23;16,2 %;-;3;2,0 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;9;5,9 %;-
Plus;-;-;-;1;0,7 %;-
BSW;-;-;-;16;10,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,7 %;-
EB Raue;33;23,2 %;-;-;-;-
