Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;905;-;-;905;-;-
Wählende;468;51,7 %;-;468;51,7 %;-
Ungültige Stimmen;5;1,1 %;-;3;0,6 %;-
Gültige Stimmen;463;98,9 %;-;465;99,4 %;-
SPD;171;36,9 %;-;167;35,9 %;-
AfD;149;32,2 %;-;143;30,8 %;-
CDU;69;14,9 %;-;48;10,3 %;-
GRÜNE/B 90;5;1,1 %;-;13;2,8 %;-
DIE LINKE;31;6,7 %;-;17;3,7 %;-
BVB / FREIE WÄHLER;13;2,8 %;-;5;1,1 %;-
FDP;4;0,9 %;-;5;1,1 %;-
Tierschutzpartei;13;2,8 %;-;8;1,7 %;-
Plus;-;-;-;3;0,6 %;-
BSW;-;-;-;46;9,9 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;1;0,2 %;-
DLW;8;1,7 %;-;7;1,5 %;-
WU;-;-;-;1;0,2 %;-
