Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;836;-;-;836;-;-
Wählende;451;53,9 %;-;451;53,9 %;-
Ungültige Stimmen;1;0,2 %;-;1;0,2 %;-
Gültige Stimmen;450;99,8 %;-;450;99,8 %;-
SPD;142;31,6 %;-;133;29,6 %;-
AfD;186;41,3 %;-;166;36,9 %;-
CDU;63;14,0 %;-;32;7,1 %;-
GRÜNE/B 90;6;1,3 %;-;7;1,6 %;-
DIE LINKE;17;3,8 %;-;7;1,6 %;-
BVB / FREIE WÄHLER;29;6,4 %;-;18;4,0 %;-
FDP;2;0,4 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;11;2,4 %;-
Plus;4;0,9 %;-;6;1,3 %;-
BSW;-;-;-;63;14,0 %;-
III. Weg;1;0,2 %;-;2;0,4 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;0;0,0 %;-
