Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.313;-;-;1.313;-;-
Wählende;651;49,6 %;+30;651;49,6 %;+30
Ungültige Stimmen;5;0,8 %;-03;6;0,9 %;-05
Gültige Stimmen;646;99,2 %;+03;645;99,1 %;+05
SPD;218;33,7 %;+33;141;21,9 %;-31
AfD;330;51,1 %;+144;309;47,9 %;+99
CDU;52;8,0 %;-24;56;8,7 %;-31
GRÜNE/B 90;2;0,3 %;-28;4;0,6 %;-28
DIE LINKE;12;1,9 %;-36;14;2,2 %;-46
BVB / FREIE WÄHLER;24;3,7 %;-47;13;2,0 %;-37
FDP;7;1,1 %;-36;6;0,9 %;-51
Tierschutzpartei;-;-;-;11;1,7 %;-06
Plus;-;-;-08;2;0,3 %;-06
BSW;-;-;-;83;12,9 %;+129
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;2;0,3 %;+03
DLW;-;-;-;1;0,2 %;+02
WU;-;-;-;2;0,3 %;+03
Die PARTEI;1;0,2 %;+02;-;-;-
