Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.349;-;-;1.349;-;-
Wählende;738;54,7 %;-;738;54,7 %;-
Ungültige Stimmen;6;0,8 %;-;4;0,5 %;-
Gültige Stimmen;732;99,2 %;-;734;99,5 %;-
SPD;293;40,0 %;-;226;30,8 %;-
AfD;186;25,4 %;-;172;23,4 %;-
CDU;117;16,0 %;-;99;13,5 %;-
GRÜNE/B 90;39;5,3 %;-;71;9,7 %;-
DIE LINKE;31;4,2 %;-;22;3,0 %;-
BVB / FREIE WÄHLER;40;5,5 %;-;16;2,2 %;-
FDP;13;1,8 %;-;6;0,8 %;-
Tierschutzpartei;-;-;-;14;1,9 %;-
Plus;11;1,5 %;-;13;1,8 %;-
BSW;-;-;-;90;12,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,1 %;-
DLW;-;-;-;1;0,1 %;-
WU;-;-;-;3;0,4 %;-
EB Müller;2;0,3 %;-;-;-;-
