Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;452;-;-;452;-;-
Ungültige Stimmen;2;0,4 %;-;0;0,0 %;-
Gültige Stimmen;450;99,6 %;-;452;100,0 %;-
SPD;131;29,1 %;-;128;28,3 %;-
AfD;105;23,3 %;-;98;21,7 %;-
CDU;107;23,8 %;-;83;18,4 %;-
GRÜNE/B 90;12;2,7 %;-;13;2,9 %;-
DIE LINKE;59;13,1 %;-;21;4,6 %;-
BVB / FREIE WÄHLER;22;4,9 %;-;7;1,5 %;-
FDP;4;0,9 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;8;1,8 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;85;18,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;10;2,2 %;-;2;0,4 %;-
WU;-;-;-;1;0,2 %;-
