Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;455;-;-;455;-;-
Ungültige Stimmen;4;0,9 %;+06;0;0,0 %;-01
Gültige Stimmen;451;99,1 %;-06;455;100,0 %;+01
SPD;103;22,8 %;-01;113;24,8 %;+07
AfD;140;31,0 %;+80;105;23,1 %;-02
CDU;124;27,5 %;+15;64;14,1 %;-74
GRÜNE/B 90;20;4,4 %;-18;9;2,0 %;-54
DIE LINKE;-;-;-106;14;3,1 %;-61
BVB / FREIE WÄHLER;55;12,2 %;+52;12;2,6 %;-43
FDP;9;2,0 %;-21;0;0,0 %;-36
Tierschutzpartei;-;-;-;6;1,3 %;-11
Plus;-;-;-;2;0,4 %;-10
BSW;-;-;-;123;27,0 %;+270
III. Weg;-;-;-;1;0,2 %;+02
DKP;-;-;-;1;0,2 %;+02
DLW;-;-;-;5;1,1 %;+11
WU;-;-;-;0;0,0 %;00
