Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;553;-;-;553;-;-
Wählende;309;55,9 %;+56;309;55,9 %;+56
Ungültige Stimmen;2;0,6 %;-11;1;0,3 %;-21
Gültige Stimmen;307;99,4 %;+11;308;99,7 %;+21
SPD;89;29,0 %;+37;86;27,9 %;+35
AfD;161;52,4 %;+211;146;47,4 %;+166
CDU;26;8,5 %;-75;19;6,2 %;-89
GRÜNE/B 90;4;1,3 %;-47;8;2,6 %;-46
DIE LINKE;11;3,6 %;-114;6;1,9 %;-113
BVB / FREIE WÄHLER;12;3,9 %;-00;5;1,6 %;-16
FDP;4;1,3 %;-12;3;1,0 %;-15
Tierschutzpartei;-;-;-;2;0,6 %;-26
Plus;-;-;-;1;0,3 %;-00
BSW;-;-;-;28;9,1 %;+91
III. Weg;-;-;-;1;0,3 %;+03
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;3;1,0 %;+10
