Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.071;-;-;1.071;-;-
Wählende;528;49,3 %;-;528;49,3 %;-
Ungültige Stimmen;6;1,1 %;-;4;0,8 %;-
Gültige Stimmen;522;98,9 %;-;524;99,2 %;-
SPD;204;39,1 %;-;159;30,3 %;-
AfD;179;34,3 %;-;170;32,4 %;-
CDU;61;11,7 %;-;48;9,2 %;-
GRÜNE/B 90;9;1,7 %;-;30;5,7 %;-
DIE LINKE;24;4,6 %;-;19;3,6 %;-
BVB / FREIE WÄHLER;30;5,7 %;-;9;1,7 %;-
FDP;2;0,4 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;14;2,7 %;-
Plus;-;-;-;4;0,8 %;-
BSW;-;-;-;68;13,0 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;2;0,4 %;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
EB Schamberger;11;2,1 %;-;-;-;-
