Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;859;-;-;859;-;-
Wählende;431;50,2 %;-;431;50,2 %;-
Ungültige Stimmen;5;1,2 %;-;7;1,6 %;-
Gültige Stimmen;426;98,8 %;-;424;98,4 %;-
SPD;88;20,7 %;-;122;28,8 %;-
AfD;135;31,7 %;-;137;32,3 %;-
CDU;65;15,3 %;-;45;10,6 %;-
GRÜNE/B 90;11;2,6 %;-;11;2,6 %;-
DIE LINKE;25;5,9 %;-;11;2,6 %;-
BVB / FREIE WÄHLER;91;21,4 %;-;26;6,1 %;-
FDP;2;0,5 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;8;1,9 %;-
Plus;-;-;-;5;1,2 %;-
BSW;-;-;-;56;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;1;0,2 %;-;-;-;-
EB Link;8;1,9 %;-;-;-;-
