Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.614;-;-;1.614;-;-
Wählende;581;36,0 %;-;581;36,0 %;-
Ungültige Stimmen;7;1,2 %;-;4;0,7 %;-
Gültige Stimmen;574;98,8 %;-;577;99,3 %;-
SPD;236;41,1 %;-;215;37,3 %;-
AfD;204;35,5 %;-;189;32,8 %;-
CDU;59;10,3 %;-;40;6,9 %;-
GRÜNE/B 90;10;1,7 %;-;24;4,2 %;-
DIE LINKE;17;3,0 %;-;23;4,0 %;-
BVB / FREIE WÄHLER;23;4,0 %;-;7;1,2 %;-
FDP;7;1,2 %;-;3;0,5 %;-
Tierschutzpartei;-;-;-;12;2,1 %;-
Plus;9;1,6 %;-;9;1,6 %;-
BSW;-;-;-;50;8,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;3;0,5 %;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;4;0,7 %;-
Demokraten BB;6;1,0 %;-;-;-;-
