Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;494;-;-;494;-;-
Ungültige Stimmen;5;1,0 %;-;1;0,2 %;-
Gültige Stimmen;489;99,0 %;-;493;99,8 %;-
SPD;146;29,9 %;-;191;38,7 %;-
AfD;69;14,1 %;-;63;12,8 %;-
CDU;178;36,4 %;-;79;16,0 %;-
GRÜNE/B 90;10;2,0 %;-;10;2,0 %;-
DIE LINKE;-;-;-;19;3,9 %;-
BVB / FREIE WÄHLER;82;16,8 %;-;16;3,2 %;-
FDP;4;0,8 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;8;1,6 %;-
Plus;-;-;-;8;1,6 %;-
BSW;-;-;-;93;18,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;3;0,6 %;-
