Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.022;-;-;1.022;-;-
Wählende;401;39,2 %;-;401.0;39,2 %;-
Ungültige Stimmen;17;4,2 %;-;9.0;2,2 %;-
Gültige Stimmen;384;95,8 %;-;392.0;97,8 %;-
SPD;150;39,1 %;-;136.0;34,7 %;-
AfD;142;37,0 %;-;122.0;31,1 %;-
CDU;37;9,6 %;-;26.0;6,6 %;-
GRÜNE/B 90;1;0,3 %;-;12.0;3,1 %;-
DIE LINKE;24;6,2 %;-;13.0;3,3 %;-
BVB / FREIE WÄHLER;21;5,5 %;-;9.0;2,3 %;-
FDP;3;0,8 %;-;0.0;0,0 %;-
Tierschutzpartei;-;-;-;10.0;2,6 %;-
Plus;6;1,6 %;-;1.0;0,3 %;-
BSW;-;-;-;63.0;16,1 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
