Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;999;-;-;999;-;-
Wählende;412;41,2 %;-;412;41,2 %;-
Ungültige Stimmen;8;1,9 %;-;4;1,0 %;-
Gültige Stimmen;404;98,1 %;-;408;99,0 %;-
SPD;103;25,5 %;-;117;28,7 %;-
AfD;164;40,6 %;-;157;38,5 %;-
CDU;66;16,3 %;-;34;8,3 %;-
GRÜNE/B 90;7;1,7 %;-;1;0,2 %;-
DIE LINKE;18;4,5 %;-;5;1,2 %;-
BVB / FREIE WÄHLER;39;9,7 %;-;11;2,7 %;-
FDP;7;1,7 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;10;2,5 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;66;16,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
