Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;12.644;-;-;12.644;-;-
Wählende;8.910;70,5 %;+91;8.91;70,5 %;+91
Ungültige Stimmen;111;1,2 %;-02;84.0;0,9 %;-03
Gültige Stimmen;8.799;98,8 %;+02;8.826;99,1 %;+03
SPD;3.035;34,5 %;+82;2.98;33,8 %;+28
AfD;2.993;34,0 %;+84;2.743;31,1 %;+43
CDU;1.180;13,4 %;-93;983.0;11,1 %;-54
GRÜNE/B 90;111;1,3 %;-36;139.0;1,6 %;-34
DIE LINKE;519;5,9 %;-63;225.0;2,5 %;-73
BVB / FREIE WÄHLER;408;4,6 %;-03;170.0;1,9 %;-15
FDP;83;0,9 %;-25;60.0;0,7 %;-35
Tierschutzpartei;238;2,7 %;+27;153.0;1,7 %;-06
Plus;-;-;-;54.0;0,6 %;-03
BSW;-;-;-;1.149;13,0 %;+130
III. Weg;-;-;-;15.0;0,2 %;+02
DKP;-;-;-;6.0;0,1 %;+01
DLW;232;2,6 %;+26;129.0;1,5 %;+15
WU;-;-;-;20.0;0,2 %;+02
