Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;277;-;-;277;-;-
Wählende;163;58,8 %;-;163;58,8 %;-
Ungültige Stimmen;2;1,2 %;-;0;0,0 %;-
Gültige Stimmen;161;98,8 %;-;163;100,0 %;-
SPD;49;30,4 %;-;48;29,4 %;-
AfD;49;30,4 %;-;49;30,1 %;-
CDU;45;28,0 %;-;31;19,0 %;-
GRÜNE/B 90;1;0,6 %;-;5;3,1 %;-
DIE LINKE;5;3,1 %;-;7;4,3 %;-
BVB / FREIE WÄHLER;4;2,5 %;-;2;1,2 %;-
FDP;2;1,2 %;-;1;0,6 %;-
Tierschutzpartei;-;-;-;4;2,5 %;-
Plus;2;1,2 %;-;1;0,6 %;-
BSW;-;-;-;14;8,6 %;-
III. Weg;0;0,0 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,6 %;-
WU;-;-;-;0;0,0 %;-
EB Mießner;4;2,5 %;-;-;-;-
