Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;467;-;-;467;-;-
Wählende;279;59,7 %;+86;279;59,7 %;+86
Ungültige Stimmen;5;1,8 %;+02;2;0,7 %;-09
Gültige Stimmen;274;98,2 %;-02;277;99,3 %;+09
SPD;106;38,7 %;+147;92;33,2 %;+114
AfD;105;38,3 %;+113;90;32,5 %;+46
CDU;39;14,2 %;-88;37;13,4 %;-89
GRÜNE/B 90;1;0,4 %;-67;3;1,1 %;-73
DIE LINKE;13;4,7 %;-56;7;2,5 %;-65
BVB / FREIE WÄHLER;10;3,6 %;-31;4;1,4 %;-46
FDP;0;0,0 %;-18;0;0,0 %;-24
Tierschutzpartei;-;-;-;1;0,4 %;-11
Plus;-;-;-;0;0,0 %;-05
BSW;-;-;-;38;13,7 %;+137
III. Weg;0;0,0 %;00;1;0,4 %;+04
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;2;0,7 %;+07
WU;-;-;-;2;0,7 %;+07
