Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;864;-;-;864;-;-
Wählende;465;53,8 %;-;465;53,8 %;-
Ungültige Stimmen;5;1,1 %;-;4;0,9 %;-
Gültige Stimmen;460;98,9 %;-;461;99,1 %;-
SPD;128;27,8 %;-;102;22,1 %;-
AfD;198;43,0 %;-;180;39,0 %;-
CDU;56;12,2 %;-;42;9,1 %;-
GRÜNE/B 90;13;2,8 %;-;18;3,9 %;-
DIE LINKE;25;5,4 %;-;16;3,5 %;-
BVB / FREIE WÄHLER;22;4,8 %;-;11;2,4 %;-
FDP;7;1,5 %;-;7;1,5 %;-
Tierschutzpartei;11;2,4 %;-;3;0,7 %;-
Plus;-;-;-;3;0,7 %;-
BSW;-;-;-;77;16,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;0;0,0 %;-
