Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;899;-;-;899;-;-
Wählende;544;60,5 %;-;544;60,5 %;-
Ungültige Stimmen;6;1,1 %;-;1;0,2 %;-
Gültige Stimmen;538;98,9 %;-;543;99,8 %;-
SPD;153;28,4 %;-;153;28,2 %;-
AfD;193;35,9 %;-;171;31,5 %;-
CDU;103;19,1 %;-;77;14,2 %;-
GRÜNE/B 90;6;1,1 %;-;9;1,7 %;-
DIE LINKE;17;3,2 %;-;13;2,4 %;-
BVB / FREIE WÄHLER;61;11,3 %;-;19;3,5 %;-
FDP;5;0,9 %;-;4;0,7 %;-
Tierschutzpartei;-;-;-;4;0,7 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;87;16,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;3;0,6 %;-
