Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;0;-;-;0;-;-
Wählende;605;-;-;605;-;-
Ungültige Stimmen;8;1,3 %;+11;2;0,3 %;+01
Gültige Stimmen;597;98,7 %;-11;603;99,7 %;-01
SPD;220;36,9 %;+123;165;27,4 %;+41
AfD;170;28,5 %;+60;151;25,0 %;+15
CDU;100;16,8 %;-04;94;15,6 %;-15
GRÜNE/B 90;24;4,0 %;-72;23;3,8 %;-77
DIE LINKE;30;5,0 %;-62;17;2,8 %;-76
BVB / FREIE WÄHLER;27;4,5 %;-67;14;2,3 %;-52
FDP;6;1,0 %;-11;7;1,2 %;-15
Tierschutzpartei;-;-;-;5;0,8 %;-21
Plus;8;1,3 %;+13;9;1,5 %;+04
BSW;-;-;-;110;18,2 %;+182
III. Weg;3;0,5 %;+05;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;7;1,2 %;+12
WU;-;-;-;1;0,2 %;+02
EB Mießner;9;1,5 %;+15;-;-;-
