Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;2.528;-;-;2.528;-;-
Wählende;1.941;76,8 %;+106;1.941;76,8 %;+106
Ungültige Stimmen;37;1,9 %;+06;12.0;0,6 %;-05
Gültige Stimmen;1.904;98,1 %;-06;1.929;99,4 %;+05
SPD;537;28,2 %;+45;533.0;27,6 %;-02
AfD;767;40,3 %;+137;685.0;35,5 %;+78
CDU;400;21,0 %;+10;213.0;11,0 %;-63
GRÜNE/B 90;37;1,9 %;-47;27.0;1,4 %;-37
DIE LINKE;-;-;-133;40.0;2,1 %;-78
BVB / FREIE WÄHLER;146;7,7 %;+11;45.0;2,3 %;-31
FDP;17;0,9 %;-23;8.0;0,4 %;-27
Tierschutzpartei;-;-;-;29.0;1,5 %;-09
Plus;-;-;-;5.0;0,3 %;-07
BSW;-;-;-;322.0;16,7 %;+167
III. Weg;-;-;-;4.0;0,2 %;+02
DKP;-;-;-;1.0;0,1 %;+01
DLW;-;-;-;14.0;0,7 %;+07
WU;-;-;-;3.0;0,2 %;+02
