Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;7.037;-;-;7.037;-;-
Wählende;5.365;76,2 %;+140;5.365;76,2 %;+140
Ungültige Stimmen;46;0,9 %;-04;22.0;0,4 %;-07
Gültige Stimmen;5.319;99,1 %;+04;5.343;99,6 %;+07
SPD;1.865;35,1 %;+27;1.789;33,5 %;+68
AfD;1.241;23,3 %;+60;1.177;22,0 %;+42
CDU;1.506;28,3 %;+57;1.213;22,7 %;+13
GRÜNE/B 90;189;3,6 %;-93;233.0;4,4 %;-103
DIE LINKE;142;2,7 %;-17;88.0;1,6 %;-30
BVB / FREIE WÄHLER;229;4,3 %;-08;86.0;1,6 %;-17
FDP;147;2,8 %;-26;83.0;1,6 %;-43
Tierschutzpartei;-;-;-;127.0;2,4 %;-09
Plus;-;-;-;46.0;0,9 %;-12
BSW;-;-;-;439.0;8,2 %;+82
III. Weg;-;-;-;3.0;0,1 %;+01
DKP;-;-;-;2.0;0,0 %;+00
DLW;-;-;-;26.0;0,5 %;+05
WU;-;-;-;31.0;0,6 %;+06
